eval/mean_ep_length,eval/mean_reward,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/std,train/loss,train/explained_variance
500.0,7928.6265637999995,10000,,,,,,,,,,,,,,,,
,,16384,1,813,20,500.0,1378.6351634374992,,,,,,,,,,,
500.0,7934.089436799999,20000,,,,,,-0.00034389049251331015,-1.4196167850866914,0.2,3033878.8440490724,10,0.00011365537,0.0002,1.220703125e-05,1.0000406503677368,1221756.125,-1.4066696166992188e-05
500.0,7933.744813400001,30000,,,,,,,,,,,,,,,,
,,32768,2,714,45,500.0,629.2947285781256,,,,,,,,,,,
500.0,7930.0996528000005,40000,,,,,,-0.0009001127436931711,-1.4291006721556188,0.2,4238859.641394043,20,0.0006751955,0.0002,0.00084228515625,1.019930362701416,5213459.5,0.001673877239227295
,,49152,3,735,66,500.0,2963.9718791354157,,,,,,,,,,,
500.0,7691.2859591999995,50000,,,,,,-0.00034715839428827165,-1.4423828896135091,0.2,58084.31235351563,30,0.0024680134,0.0002,0.003192138671875,1.0223628282546997,27688.4453125,0.0025871992111206055
500.0,7670.880782999999,60000,,,,,,,,,,,,,,,,
,,65536,4,708,92,500.0,4753.691838290001,,,,,,,,,,,
500.0,7920.397800999999,70000,,,,,,-0.0004962940482073463,-1.4417682334780693,0.2,67724.86151123047,40,0.0029836302,0.0002,0.003924560546875,1.021092414855957,34228.7578125,0.030872046947479248
500.0,7927.996712799999,80000,,,,,,,,,,,,,,,,
,,81920,5,688,119,500.0,6969.154546029999,,,,,,,,,,,
500.0,7924.2982114,90000,,,,,,-0.00025917421080521306,-1.441699692234397,0.2,51667.01206665039,50,0.0011018458,0.0002,0.0003662109375,1.0242522954940796,24080.77734375,0.03630119562149048
,,98304,6,700,140,500.0,6768.773222479999,,,,,,,,,,,
500.0,7940.221588799999,100000,,,,,,-0.00048413918921141885,-1.4527495834976434,0.2,54346.15106201172,60,0.0018146187,0.0002,0.0051025390625,1.0398833751678467,26442.818359375,0.11415165662765503
500.0,7936.502566,110000,,,,,,,,,,,,,,,,
,,114688,7,691,165,500.0,7085.930063559999,,,,,,,,,,,
500.0,7935.9060232,120000,,,,,,-0.0001420721680915449,-1.4574447739869356,0.2,53613.9974243164,70,0.0018296023,0.0002,0.000189208984375,1.0377416610717773,26083.197265625,0.0008041858673095703
500.0,7916.1719866,130000,,,,,,,,,,,,,,,,
,,131072,8,679,192,500.0,7248.97391354,,,,,,,,,,,
