time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/std,train/explained_variance,train/learning_rate
1864,6851.459041593749,8,16384,1,500.0,,,,,,,,,,,
1669,7086.6416917968745,19,32768,2,500.0,0.0007893880208333333,0.0015053224,15,0.2,-1.42173171043396,-0.0005693282593711047,139545.8135904948,68518.046875,1.0040324926376343,-0.0004086494445800781,0.0003050848
1616,7252.164551958333,30,49152,3,500.0,0.0015584309895833334,0.00118169,30,0.2,-1.430428935835759,-0.000370322145317914,150072.32872721355,70820.578125,1.0180251598358154,0.032338619232177734,0.0003001696
1567,7484.87323345,41,65536,4,500.0,0.0012613932291666667,0.0009027582,45,0.2,-1.4423668252925077,-0.000306115787680028,155530.24490559896,69743.2109375,1.0291571617126465,0.06756079196929932,0.00029525440000000003
1552,7601.92434195,52,81920,5,500.0,0.003788248697916667,0.0016416092,60,0.2,-1.4578025110065937,-0.0006499752023955807,143873.83374023438,71528.2109375,1.0482257604599,0.09604418277740479,0.0002903392
1550,7484.317460169999,63,98304,6,500.0,0.0012532552083333334,0.0008833582,75,0.2,-1.4744772429267565,-0.0006925087004977589,145469.11728515624,68141.8515625,1.0646501779556274,0.11811739206314087,0.000285424
1542,7369.26294168,74,114688,7,500.0,0.0006551106770833333,0.00076385855,90,0.2,-1.4862355545163155,-0.0006855794104315767,140335.96188151042,78903.4140625,1.074303388595581,0.14075541496276855,0.0002805088
1540,7334.70116426,85,131072,8,500.0,0.00042317708333333335,0.00043547526,105,0.2,-1.5008942234019438,-0.00015389036998385562,137164.3861328125,66525.796875,1.095304012298584,0.16273361444473267,0.0002755936
1530,7256.393342249999,96,147456,9,500.0,0.005135091145833334,0.0017343139,120,0.2,-1.5229951704541842,-0.0013816251138147587,134846.57132161458,62228.4609375,1.1230297088623047,0.1835135817527771,0.00027067840000000003
1523,7401.957999979999,107,163840,10,500.0,0.0018595377604166666,0.0009334859,135,0.2,-1.545709344247977,-0.00045337010839527163,143481.45970052082,66307.265625,1.1457468271255493,0.19346702098846436,0.0002657632
1520,7442.07422355,118,180224,11,500.0,8.138020833333333e-06,0.00014404392,150,0.2,-1.559690460562706,-5.251118758072456e-05,145567.01635742188,70038.8046875,1.1568044424057007,0.215714693069458,0.000260848
1517,7685.340878530001,129,196608,12,500.0,0.0011515299479166667,0.0007634907,165,0.2,-1.5767984963953494,-0.00031130303104873744,144520.4373860677,69620.0859375,1.1843713521957397,0.23610103130340576,0.0002559328
1521,7686.271749610002,140,212992,13,500.0,2.44140625e-05,0.0004596423,180,0.2,-1.5856052053471406,-0.00017340304214788678,136394.25161132813,69754.640625,1.1786919832229614,0.2547604441642761,0.0002510176
1513,7711.600504899998,151,229376,14,500.0,0.00277099609375,0.0010469076,195,0.2,-1.5986716034511725,-0.0006368868564095465,145252.90436197916,71899.4765625,1.2126415967941284,0.26369500160217285,0.0002461024
1517,7819.058767849999,161,245760,15,500.0,4.069010416666667e-06,0.00014166695,210,0.2,-1.6125782899558545,-0.00019269558833912015,137179.8755859375,63801.50390625,1.2143311500549316,0.2831481695175171,0.00024118719999999998
1521,7667.583139010001,172,262144,16,500.0,0.0003987630208333333,0.00046816783,225,0.2,-1.6213719978928567,-0.00027787500415191364,146189.28030598958,71952.7578125,1.2346670627593994,0.28943532705307007,0.000236272
1523,7762.63497975,182,278528,17,500.0,0.00016682942708333334,0.00030979072,240,0.2,-1.6379569433629513,-0.00016389995956463585,138823.49674479166,75851.953125,1.255246639251709,0.30537259578704834,0.0002313568
1526,7870.33380765,193,294912,18,500.0,2.44140625e-05,0.00016945448,255,0.2,-1.642040465772152,-0.00041371245048746157,143849.73536783856,69237.234375,1.2449387311935425,0.31551241874694824,0.00022644159999999998
1529,8143.965455010001,203,311296,19,500.0,0.0017049153645833333,0.00088283315,270,0.2,-1.651788994918267,-0.0006699325199103138,145275.55623372397,70383.1796875,1.2777405977249146,0.3339115381240845,0.00022152639999999997
1531,8135.385292,213,327680,20,500.0,8.138020833333333e-06,0.00020258411,285,0.2,-1.668580489854018,-0.0001855423783126753,143016.25485026042,69109.828125,1.2890965938568115,0.3412255644798279,0.00021661119999999998
1531,8067.892613860001,224,344064,21,500.0,3.255208333333333e-05,0.00021738533,300,0.2,-1.6778244905173778,-0.0001477041519441021,135704.52426757812,61908.890625,1.301762580871582,0.3600863218307495,0.000211696
1533,7965.825913820001,235,360448,22,500.0,0.00015869140625,0.00038094347,315,0.2,-1.6900301086405913,-0.00021855378290638327,143761.35667317707,72700.484375,1.321047306060791,0.36747825145721436,0.0002067808
1534,8086.01321737,245,376832,23,500.0,1.6276041666666666e-05,0.00021524023,330,0.2,-1.6982433187464874,-0.00015541266742123602,136362.76471354166,66158.1796875,1.3236143589019775,0.3870159387588501,0.00020186559999999998
1535,8021.802084030001,256,393216,24,500.0,0.0,0.00012090308,345,0.2,-1.6960341344277063,-0.00014110000392975053,135610.8959798177,67765.09375,1.3148863315582275,0.394680917263031,0.00019695039999999996
1536,8077.50812223,266,409600,25,500.0,0.0,4.515674e-05,360,0.2,-1.6946865439414978,-4.4571598118636756e-05,143241.7524576823,73688.171875,1.3201287984848022,0.3879004716873169,0.00019203519999999997
1535,8040.001635260001,277,425984,26,500.0,4.069010416666667e-06,0.00014696129,375,0.2,-1.692023446659247,-0.00024275219657283743,129216.48308919271,65996.5,1.3077807426452637,0.41165459156036377,0.00018711999999999998
1535,8052.949360829999,288,442368,27,500.0,0.0010701497395833334,0.0007085849,390,0.2,-1.700988374153773,-0.0005532715227066849,142103.08365885416,69440.015625,1.3437224626541138,0.41103851795196533,0.00018220480000000002
1535,8022.6228965499995,298,458752,28,500.0,0.0,0.00013721932,405,0.2,-1.711282671491305,-0.00024185984620999078,135441.1664550781,59147.82421875,1.33420991897583,0.41878050565719604,0.00017728959999999998
