train/learning_rate,rollout/ep_len_mean,time/episodes,train/n_updates,time/total_timesteps,train/critic_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,eval/mean_reward,eval/mean_ep_length
0.0003,500.0,4,42064,8000,27019.893920898438,1809,1981.1112365722656,-13073.437246437501,4,0.10000000149011612,,
,500.0,8,,8000,,1808,,-13073.437246437501,4,,,
,500.0,12,,8000,,1807,,-13073.437246437501,4,,,
,500.0,16,,8000,,1807,,-13073.437246437501,4,,,
0.0003,,,42192,10000,22545.515625,,1899.1463165283203,,,0.10000000149011612,-7814.0740962,500.0
0.0003,500.0,20,42560,16000,15211.706909179688,936,1770.1136856079102,-10397.449720375,17,0.10000000149011612,,
,500.0,24,,16000,,936,,-10397.449720375,17,,,
,500.0,28,,16000,,935,,-10397.449720375,17,,,
,500.0,32,,16000,,935,,-10397.449720375,17,,,
0.0003,,,42816,20000,11392.699890136719,,1709.7011947631836,,,0.10000000149011612,-7752.5137432,500.0
0.0003,500.0,36,43056,24000,9580.85903930664,797,1685.2118835449219,-9259.079099562501,30,0.10000000149011612,,
,500.0,40,,24000,,797,,-9259.079099562501,30,,,
,500.0,44,,24000,,797,,-9259.079099562501,30,,,
,500.0,48,,24000,,797,,-9259.079099562501,30,,,
0.0003,,,43440,30000,7941.969879150391,,1651.533920288086,,,0.10000000149011612,-6962.6796124,500.0
0.0003,500.0,52,43552,32000,6765.944519042969,751,1645.580078125,-8965.227879531249,42,0.10000000149011612,,
,500.0,56,,32000,,751,,-8965.227879531249,42,,,
,500.0,60,,32000,,751,,-8965.227879531249,42,,,
,500.0,64,,32000,,751,,-8965.227879531249,42,,,
0.0003,,,44064,40000,5674.899932861328,,1623.1867752075195,,,0.10000000149011612,-6469.516397,500.0
,500.0,68,,40000,,725,,-8624.796367312501,55,,,
,500.0,72,,40000,,725,,-8624.796367312501,55,,,
,500.0,76,,40000,,725,,-8624.796367312501,55,,,
,500.0,80,,40000,,725,,-8624.796367312501,55,,,
0.0003,500.0,84,44560,48000,4121.027282714844,754,1609.627182006836,-8408.631544958333,63,0.10000000149011612,,
,500.0,88,,48000,,754,,-8408.631544958333,63,,,
,500.0,92,,48000,,754,,-8408.631544958333,63,,,
,500.0,96,,48000,,754,,-8408.631544958333,63,,,
0.0003,,,44688,50000,4061.470443725586,,1597.5522003173828,,,0.10000000149011612,-6591.728831,500.0
0.0003,500.0,100,45056,56000,3320.2240295410156,734,1597.4029388427734,-7693.349945410001,76,0.10000000149011612,,
,500.0,104,,56000,,734,,-7693.349945410001,76,,,
,500.0,108,,56000,,734,,-7693.349945410001,76,,,
,500.0,112,,56000,,734,,-7693.349945410001,76,,,
0.0003,,,45312,60000,3141.203514099121,,1593.4924087524414,,,0.10000000149011612,-5406.640114,500.0
0.0003,500.0,116,45552,64000,3145.5677490234375,718,1593.247917175293,-7280.244063520001,89,0.10000000149011612,,
,500.0,120,,64000,,718,,-7280.244063520001,89,,,
,500.0,124,,64000,,718,,-7280.244063520001,89,,,
,500.0,128,,64000,,718,,-7280.244063520001,89,,,
0.0003,,,45936,70000,2355.4843521118164,,1578.0170364379883,,,0.10000000149011612,-7232.398394999999,500.0
0.0003,500.0,132,46064,72000,2253.153854370117,706,1575.8030471801758,-7161.32552902,101,0.10000000149011612,,
,500.0,136,,72000,,706,,-7161.32552902,101,,,
,500.0,140,,72000,,706,,-7161.32552902,101,,,
,500.0,144,,72000,,706,,-7161.32552902,101,,,
0.0003,,,46560,80000,2024.6120223999023,,1572.2552490234375,,,0.10000000149011612,-7717.621292999999,500.0
,500.0,148,,80000,,701,,-6907.629714039999,114,,,
,500.0,152,,80000,,701,,-6907.629714039999,114,,,
,500.0,156,,80000,,701,,-6907.629714039999,114,,,
,500.0,160,,80000,,701,,-6907.629714039999,114,,,
0.0003,500.0,164,47056,88000,1820.1169662475586,718,1566.1930236816406,-6807.00780574,122,0.10000000149011612,,
,500.0,168,,88000,,718,,-6807.00780574,122,,,
,500.0,172,,88000,,718,,-6807.00780574,122,,,
,500.0,176,,88000,,718,,-6807.00780574,122,,,
0.0003,,,47184,90000,1732.5751113891602,,1567.6124572753906,,,0.10000000149011612,-6299.5742696,500.0
0.0003,500.0,180,47552,96000,1736.8425941467285,712,1565.627296447754,-6767.2804663,134,0.10000000149011612,,
,500.0,184,,96000,,712,,-6767.2804663,134,,,
,500.0,188,,96000,,712,,-6767.2804663,134,,,
,500.0,192,,96000,,712,,-6767.2804663,134,,,
0.0003,,,47808,100000,1766.2682342529297,,1563.398292541504,,,0.10000000149011612,-6629.8363458,500.0
0.0003,500.0,196,48064,104000,1337.1351203918457,705,1560.8254013061523,-6728.8941571099995,147,0.10000000149011612,,
,500.0,200,,104000,,705,,-6728.8941571099995,147,,,
,500.0,204,,104000,,705,,-6728.8941571099995,147,,,
,500.0,208,,104000,,705,,-6728.8941571099995,147,,,
