train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,time/fps,eval/mean_reward,eval/mean_ep_length
152371,2830.1220703125,854.89453125,3.9414989948272705,500.0,1048192,0.44813525676727295,13,-696.49693689,2080,0.0003,577,,
,,,,500.0,1048192,,13,-696.49693689,2084,,577,,
,,,,500.0,1048192,,13,-696.49693689,2088,,577,,
,,,,500.0,1048192,,13,-696.49693689,2092,,577,,
152871,2789.33740234375,1577.7060546875,3.4976420402526855,500.0,1056192,0.33514702320098877,27,-526.9739380099999,2096,0.0003,576,,
,,,,500.0,1056192,,27,-526.9739380099999,2100,,576,,
,,,,500.0,1056192,,27,-526.9739380099999,2104,,576,,
,,,,500.0,1056192,,27,-526.9739380099999,2108,,576,,
153121,2779.994140625,1504.44970703125,3.278749465942383,,1060192,0.2547755539417267,,,,0.0003,,-432.58463439999997,500.0
153371,2752.30712890625,1205.2113037109375,3.0864737033843994,500.0,1064192,0.19793204963207245,46,-571.9265581499999,2112,0.0003,520,,
,,,,500.0,1064192,,46,-571.9265581499999,2116,,520,,
,,,,500.0,1064192,,46,-571.9265581499999,2120,,520,,
,,,,500.0,1064192,,46,-571.9265581499999,2124,,520,,
153871,2707.45751953125,1152.0855712890625,2.7406225204467773,500.0,1072192,0.17204530537128448,60,-537.81916818,2128,0.0003,532,,
,,,,500.0,1072192,,60,-537.81916818,2132,,532,,
,,,,500.0,1072192,,60,-537.81916818,2136,,532,,
,,,,500.0,1072192,,60,-537.81916818,2140,,532,,
154371,2682.2841796875,1344.5379638671875,2.4521703720092773,,1080192,0.2890995144844055,,,,0.0003,,-601.4788312000001,500.0
,,,,500.0,1080192,,79,-516.28506595,2144,,503,,
,,,,500.0,1080192,,79,-516.28506595,2148,,503,,
,,,,500.0,1080192,,79,-516.28506595,2152,,503,,
,,,,500.0,1080192,,79,-516.28506595,2156,,503,,
154871,2632.666015625,1129.077880859375,2.1900899410247803,500.0,1088192,0.15888109803199768,93,-552.83421467,2160,0.0003,515,,
,,,,500.0,1088192,,93,-552.83421467,2164,,515,,
,,,,500.0,1088192,,93,-552.83421467,2168,,515,,
,,,,500.0,1088192,,93,-552.83421467,2172,,515,,
155371,2598.359375,801.48095703125,1.9659194946289062,500.0,1096192,0.0826890766620636,106,-594.23985014,2176,0.0003,523,,
,,,,500.0,1096192,,106,-594.23985014,2180,,523,,
