time/fps,time/time_elapsed,train/actor_loss,time/total_timesteps,train/ent_coef,train/learning_rate,time/episodes,train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
161,12,731.5975952148438,2000,0.8915987610816956,0.0003,4,27679.294921875,-92296.90069349999,500.0,0.05696514621376991,999,,
99,40,898.6292724609375,4000,1.486199975013733,0.0003,8,16830.775390625,-42869.74255725001,500.0,-0.18630100786685944,2999,,
88,67,821.5250244140625,6000,2.751462459564209,0.0003,12,25573.3671875,-29284.497668333337,500.0,-0.751394510269165,4999,,
86,92,462.59588623046875,8000,5.1138596534729,0.0003,16,30853.212890625,-23109.547428125,500.0,-0.8629748225212097,6999,,
,,231.0549774169922,10000,6.1958160400390625,0.0003,,12740.2041015625,,,0.2783532440662384,8999,500.0,6734.407877200001
80,124,,10000,,,20,,-18236.28099805,500.0,,,,
80,149,176.38645935058594,12000,4.8729963302612305,0.0003,24,9500.4951171875,-14164.220223708335,500.0,0.17138023674488068,10999,,
78,179,0.13367652893066406,14000,4.521332740783691,0.0003,28,8211.81640625,-12756.329488928573,500.0,0.13513976335525513,12999,,
78,204,-78.95291900634766,16000,3.9096925258636475,0.0003,32,20411.708984375,-10601.726770187499,500.0,0.12324598431587219,14999,,
77,231,-271.64361572265625,18000,3.7628488540649414,0.0003,36,10973.8046875,-9532.401498694446,500.0,0.13109293580055237,16999,,
,,-363.79925537109375,20000,3.099909543991089,0.0003,,4696.330078125,,,-0.012894127517938614,18999,500.0,10407.936622
76,261,,20000,,,40,,-7851.409875575,500.0,,,,
76,288,-221.3794708251953,22000,2.6548666954040527,0.0003,44,15580.94140625,-6342.848440272728,500.0,-0.10076035559177399,20999,,
75,315,-624.9392700195312,24000,2.4848294258117676,0.0003,48,6520.5322265625,-5194.71822575,500.0,-0.019289880990982056,22999,,
76,341,-557.4830322265625,26000,2.2240004539489746,0.0003,52,5675.216796875,-4263.428932173078,500.0,-0.14262032508850098,24999,,
75,371,-698.8353271484375,28000,2.1869354248046875,0.0003,56,14929.236328125,-3587.1501622321425,500.0,-0.12789767980575562,26999,,
,,-885.344970703125,30000,2.0094192028045654,0.0003,,3220.31787109375,,,-0.02990923635661602,28999,500.0,8635.806595
72,413,,30000,,,60,,-2654.699224583333,500.0,,,,
72,442,-863.0966796875,32000,1.9673125743865967,0.0003,64,4392.642578125,-2048.3022618281243,500.0,-0.08332619816064835,30999,,
70,479,-940.4522705078125,34000,1.7571284770965576,0.0003,68,11090.681640625,-1606.9599501029406,500.0,-0.03185921162366867,32999,,
70,510,-1025.869384765625,36000,1.4592312574386597,0.0003,72,1930.43115234375,-1117.3994872638884,500.0,-0.041115280240774155,34999,,
