time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef,eval/mean_reward,eval/mean_ep_length
4,500.0,-25920.871268374998,2,4000,1875,,,,,,,,
8,500.0,-25920.871268374998,2,4000,1874,,,,,,,,
12,500.0,-20186.895622375,4,8000,1858,,,,,,,,
16,500.0,-20186.895622375,4,8000,1857,,,,,,,,
20,500.0,-22572.803720375,9,12000,1228,7967.845654296875,40.990997314453125,200,-0.07466675728559494,0.0003,0.9499288570880889,,
24,500.0,-22572.803720375,9,12000,1228,,,,,,,,
28,500.0,-17891.0796395625,19,16000,823,2527.0749169921874,112.28459869384766,700,-0.10863643139600754,0.0003,0.8577945816516876,,
32,500.0,-17891.0796395625,19,16000,823,,,,,,,,
36,500.0,-12759.281660325001,28,20000,693,1442.4797290039062,137.19383224487305,1200,-0.10597118586301804,0.0003,0.779215795993805,,
40,500.0,-12759.281660325001,28,20000,693,,,,,,,,
44,500.0,-9076.7970348125,37,24000,632,1312.482080078125,115.58856269836426,1700,0.0719057359918952,0.0003,0.7654886722564698,,
48,500.0,-9076.7970348125,37,24000,632,,,,,,,,
52,500.0,-6396.492204464285,47,28000,593,1588.0651696777343,45.912829599380494,2200,0.10318749874830246,0.0003,0.8737892115116119,,
56,500.0,-6396.492204464285,47,28000,593,,,,,,,,
60,500.0,-4429.3733084375,56,32000,566,1846.7344165039062,-44.26068243026734,2700,-0.016963403234258295,0.0003,1.0300981426239013,,
64,500.0,-4429.3733084375,56,32000,566,,,,,,,,
68,500.0,-2859.2903035277773,65,36000,546,2038.7905126953126,-127.08987770080566,3200,-0.053131450936198234,0.0003,1.153002414703369,,
72,500.0,-2859.2903035277773,65,36000,546,,,,,,,,
76,500.0,-1722.4239282874998,75,40000,531,2438.451525878906,-204.03202026367188,3700,-0.04085426059551537,0.0003,1.244795789718628,,
80,500.0,-1722.4239282874998,75,40000,531,,,,,,,,
84,500.0,-864.6895145,84,44000,519,2504.150888671875,-284.8578494262695,4200,0.0008268961403518915,0.0003,1.2887563610076904,,
88,500.0,-864.6895145,84,44000,519,,,,,,,,
92,500.0,-514.1778892916666,94,48000,509,2842.4042700195314,-356.05381896972654,4700,0.02499807863496244,0.0003,1.285872118473053,,
96,500.0,-514.1778892916666,94,48000,509,,,,,,,,
100,500.0,864.3900912700001,103,52000,502,3393.0271630859374,-404.49366271972656,5200,0.016829766342416407,0.0003,1.2308797430992127,,
104,500.0,864.3900912700001,103,52000,502,,,,,,,,
108,500.0,2006.8890941299996,112,56000,496,3079.3726013183596,-451.3703094482422,5700,-0.000599972577765584,0.0003,1.1808019995689392,,
112,500.0,2006.8890941299996,112,56000,496,,,,,,,,
116,500.0,3978.61339956,122,60000,490,3232.4081176757813,-479.0895977783203,6200,-0.009836557004600763,0.0003,1.170969693660736,,
120,500.0,3978.61339956,122,60000,490,,,,,,,,
124,500.0,5196.158182409999,131,64000,486,2654.672314453125,-516.7986279296875,6700,0.0004160595964640379,0.0003,1.1523440527915954,,
