rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
-10611.083749000001,500.0,4,2006,1,4000,,,,,,,,
-10611.083749000001,500.0,8,2005,1,4000,,,,,,,,
-10561.214401187499,500.0,12,1986,4,8000,,,,,,,,
-10561.214401187499,500.0,16,1986,4,8000,,,,,,,,
-12031.143573249998,500.0,20,1297,9,12000,0.0003,200,24.965936393737792,-0.08064175724983215,2859.4760791015624,0.9497758853435516,,
-12031.143573249998,500.0,24,1297,9,12000,,,,,,,,
-8221.567238,500.0,28,874,18,16000,0.0003,700,51.7139892578125,-0.08756416529417038,703.2124145507812,0.8558077275753021,,
-8221.567238,500.0,32,874,18,16000,,,,,,,,
-4853.2583714,500.0,36,732,27,20000,0.0003,1200,29.273560729026794,-0.07274713024497031,659.3613446044922,0.7986880087852478,,
-4853.2583714,500.0,40,732,27,20000,,,,,,,,
-2485.6640624583333,500.0,44,661,36,24000,0.0003,1700,-2.159826707839966,-0.022989739682525396,1066.1242645263671,0.7658182072639466,,
-2485.6640624583333,500.0,48,661,36,24000,,,,,,,,
-408.52207710714276,500.0,52,617,45,28000,0.0003,2200,-53.117382774353025,0.0008479938469827175,1448.8870886230468,0.7549112701416015,,
-408.52207710714276,500.0,56,617,45,28000,,,,,,,,
726.4221514687501,500.0,60,588,54,32000,0.0003,2700,-112.71776336669922,0.02149894108995795,1673.8183435058593,0.7685105466842651,,
726.4221514687501,500.0,64,588,54,32000,,,,,,,,
1490.4407072361112,500.0,68,566,63,36000,0.0003,3200,-171.86900177001954,-0.007094148276373744,1801.1966381835937,0.7740633630752564,,
1490.4407072361112,500.0,72,566,63,36000,,,,,,,,
2155.1853562124998,500.0,76,551,72,40000,0.0003,3700,-230.35204833984375,-0.04161676309071481,1807.6243481445313,0.7301755523681641,,
2155.1853562124998,500.0,80,551,72,40000,,,,,,,,
3125.7230700340906,500.0,84,538,81,44000,0.0003,4200,-281.27806732177737,-0.07583960378542542,1756.0991577148438,0.6558844351768494,,
3125.7230700340906,500.0,88,538,81,44000,,,,,,,,
3796.7285168958333,500.0,92,529,90,48000,0.0003,4700,-342.3602362060547,-0.03379615714773536,1694.7503259277344,0.6057360208034516,,
3796.7285168958333,500.0,96,529,90,48000,,,,,,,,
4785.66724121,500.0,100,521,99,52000,0.0003,5200,-389.94471618652346,-0.06025438201613724,1733.6241613769532,0.5627212715148926,,
4785.66724121,500.0,104,521,99,52000,,,,,,,,
6229.617449850001,500.0,108,515,108,56000,0.0003,5700,-440.9425616455078,-0.02933438425883651,1557.0003723144532,0.5224664568901062,,
6229.617449850001,500.0,112,515,108,56000,,,,,,,,
8098.02878801,500.0,116,509,117,60000,0.0003,6200,-494.0485650634766,-0.044048836641013625,1510.9846496582031,0.48766885995864867,,
8098.02878801,500.0,120,509,117,60000,,,,,,,,
9380.02371896,500.0,124,504,126,64000,0.0003,6700,-540.0383227539063,-0.06883524080738425,1617.1177056884765,0.4558637201786041,,
9380.02371896,500.0,128,504,126,64000,,,,,,,,
