time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
2,500.0,4000,-137351.1650035,4,1727,,,,,,
2,500.0,4000,-137351.1650035,8,1726,,,,,,
4,500.0,8000,-150243.484780625,12,1747,,,,,,
4,500.0,8000,-150243.484780625,16,1747,,,,,,
8,500.0,12000,-177623.08136654165,20,1436,200,671749.055625,50.897360229492186,0.0002,,
8,500.0,12000,-177623.08136654165,24,1436,,,,,,
14,500.0,16000,-131591.15290593752,28,1121,700,170872.09453125,395.2709436035156,0.0002,,
14,500.0,16000,-131591.15290593752,32,1121,,,,,,
20,500.0,20000,-104136.162480775,36,965,1200,83019.97890625,522.9889038085937,0.0002,,
20,500.0,20000,-104136.162480775,40,964,,,,,,
26,500.0,24000,-85954.56916485417,44,902,1700,53304.665703125,633.1415393066407,0.0002,,
26,500.0,24000,-85954.56916485417,48,902,,,,,,
32,500.0,28000,-73376.04999757142,52,860,2200,34633.9337890625,763.7222802734375,0.0002,,
32,500.0,28000,-73376.04999757142,56,860,,,,,,
38,500.0,32000,-64150.178721375,60,827,2700,22940.9733203125,825.6548315429687,0.0002,,
38,500.0,32000,-64150.178721375,64,827,,,,,,
44,500.0,36000,-63799.23782868055,68,805,3200,18916.06248046875,949.9573071289062,0.0002,,
44,500.0,36000,-63799.23782868055,72,804,,,,,,
50,500.0,40000,-58667.7655640875,76,784,3700,18384.67697265625,1032.125224609375,0.0002,,
50,500.0,40000,-58667.7655640875,80,784,,,,,,
57,500.0,44000,-53954.986179125,84,771,4200,18272.032060546873,1048.3254638671874,0.0002,,
57,500.0,44000,-53954.986179125,88,771,,,,,,
62,500.0,48000,-56220.87532496875,92,766,4700,24292.79037109375,1279.9159887695312,0.0002,,
62,500.0,48000,-56220.87532496875,96,766,,,,,,
68,500.0,52000,-51233.29891406,100,759,5200,26226.53869140625,1365.3415893554688,0.0002,,
68,500.0,52000,-51233.29891406,104,759,,,,,,
74,500.0,56000,-38176.279505290004,108,754,5700,33713.39060546875,1425.1603442382811,0.0002,,
74,500.0,56000,-38176.279505290004,112,754,,,,,,
79,500.0,60000,-25934.72807329,116,752,6200,35662.6533984375,1397.8568872070311,0.0002,,
79,500.0,60000,-25934.72807329,120,752,,,,,,
85,500.0,64000,-14622.71217538,124,748,6700,40900.2240234375,1498.247236328125,0.0002,,
85,500.0,64000,-14622.71217538,128,748,,,,,,
91,500.0,68000,-14541.63292743,132,743,7200,46457.90990234375,1462.626220703125,0.0002,,
91,500.0,68000,-14541.63292743,136,743,,,,,,
97,500.0,72000,-14486.683628859999,140,740,7700,57964.7856640625,1394.1417700195314,0.0002,,
97,500.0,72000,-14486.683628859999,144,740,,,,,,
102,500.0,76000,-14105.460342780003,148,738,8200,64812.607109375,1412.842890625,0.0002,,
102,500.0,76000,-14105.460342780003,152,738,,,,,,
,,80000,,,,8700,72780.114609375,1394.269794921875,0.0002,500.0,5644.6938318
111,500.0,80000,-13710.634543460003,156,714,,,,,,
111,500.0,80000,-13710.634543460003,160,714,,,,,,
117,500.0,84000,-8380.867430230002,164,712,9200,75323.510859375,1348.26365234375,0.0002,,
117,500.0,84000,-8380.867430230002,168,712,,,,,,
123,500.0,88000,-7195.147240410001,172,712,9700,87095.629453125,1187.2194799804688,0.0002,,
123,500.0,88000,-7195.147240410001,176,712,,,,,,
129,500.0,92000,-6038.075216290002,180,712,10200,110911.775390625,1130.0363061523437,0.0002,,
129,500.0,92000,-6038.075216290002,184,712,,,,,,
134,500.0,96000,900.0287231699999,188,711,10700,121580.43375,1016.6125,0.0002,,
134,500.0,96000,900.0287231699999,192,711,,,,,,
140,500.0,100000,2652.7338551599996,196,710,11200,121971.15671875,1163.1551831054687,0.0002,,
140,500.0,100000,2652.7338551599996,200,710,,,,,,
146,500.0,104000,4262.070241480001,204,708,11700,132139.859609375,1223.2746362304688,0.0002,,
146,500.0,104000,4262.070241480001,208,708,,,,,,
152,500.0,108000,5370.72936857,212,707,12200,116712.764375,1000.0940576171874,0.0002,,
152,500.0,108000,5370.72936857,216,707,,,,,,
158,500.0,112000,6420.611747249999,220,705,12700,135787.89484375,1027.7171557617187,0.0002,,
158,500.0,112000,6420.611747249999,224,705,,,,,,
164,500.0,116000,6622.08956249,228,704,13200,116125.0159375,1009.678251953125,0.0002,,
164,500.0,116000,6622.08956249,232,704,,,,,,
170,500.0,120000,6590.22418031,236,704,13700,138943.43703125,881.3624499511719,0.0002,,
170,500.0,120000,6590.22418031,240,704,,,,,,
176,500.0,124000,6425.675294379999,244,704,14200,149789.90828125,868.5272192382813,0.0002,,
176,500.0,124000,6425.675294379999,248,704,,,,,,
182,500.0,128000,6331.951791550001,252,703,14700,145307.76609375,793.2051770019531,0.0002,,
182,500.0,128000,6331.951791550001,256,703,,,,,,
188,500.0,132000,6409.13410837,260,701,15200,150121.95296875,849.0551062011718,0.0002,,
188,500.0,132000,6409.13410837,264,701,,,,,,
194,500.0,136000,6498.527026039998,268,700,15700,160418.51421875,691.2562559509278,0.0002,,
194,500.0,136000,6498.527026039998,272,700,,,,,,
200,500.0,140000,6602.141990689998,276,699,16200,158736.0788671875,675.0170025634766,0.0002,,
200,500.0,140000,6602.141990689998,280,699,,,,,,
206,500.0,144000,6701.13593203,284,698,16700,179265.79140625,652.0451635742188,0.0002,,
206,500.0,144000,6701.13593203,288,698,,,,,,
211,500.0,148000,6766.7241659500005,292,698,17200,161483.26203125,525.5572291564941,0.0002,,
211,500.0,148000,6766.7241659500005,296,698,,,,,,
217,500.0,152000,6789.457931740001,300,698,17700,179087.053046875,504.44680221557616,0.0002,,
217,500.0,152000,6789.457931740001,304,698,,,,,,
223,500.0,156000,6858.336007959998,308,698,18200,170220.383203125,572.4292036437988,0.0002,,
223,500.0,156000,6858.336007959998,312,698,,,,,,
,,160000,,,,18700,219987.73671875,473.70997344970704,0.0002,500.0,7385.743485199999
232,500.0,160000,6870.5812462,316,687,,,,,,
232,500.0,160000,6870.5812462,320,687,,,,,,
238,500.0,164000,7036.728678270002,324,688,19200,187534.39265625,426.1567626953125,0.0002,,
238,500.0,164000,7036.728678270002,328,688,,,,,,
243,500.0,168000,7197.986655969999,332,688,19700,201100.5665625,395.0877072143555,0.0002,,
243,500.0,168000,7197.986655969999,336,688,,,,,,
249,500.0,172000,7345.8203613000005,340,689,20200,201857.58171875,336.9739848327637,0.0002,,
249,500.0,172000,7345.8203613000005,344,689,,,,,,
255,500.0,176000,7514.302675590001,348,688,20700,180939.2903125,192.60144012451173,0.0002,,
255,500.0,176000,7514.302675590001,352,688,,,,,,
261,500.0,180000,7539.8458188800005,356,688,21200,223231.1516015625,235.84257461547853,0.0002,,
261,500.0,180000,7539.8458188800005,360,688,,,,,,
267,500.0,184000,7510.30252723,364,689,21700,209479.427265625,314.0658020019531,0.0002,,
267,500.0,184000,7510.30252723,368,689,,,,,,
272,500.0,188000,7468.40302533,372,689,22200,228866.672578125,172.07154479980468,0.0002,,
272,500.0,188000,7468.40302533,376,689,,,,,,
278,500.0,192000,7435.2190622,380,689,22700,231652.45578125,65.85539184570312,0.0002,,
278,500.0,192000,7435.2190622,384,689,,,,,,
283,500.0,196000,7425.37914463,388,690,23200,212672.9109375,56.636903076171876,0.0002,,
283,500.0,196000,7425.37914463,392,690,,,,,,
289,500.0,200000,7415.615132690001,396,690,23700,230477.9390625,51.405723876953125,0.0002,,
289,500.0,200000,7415.615132690001,400,690,,,,,,
295,500.0,204000,7430.584689379999,404,690,24200,216676.38140625,-34.800489807128905,0.0002,,
295,500.0,204000,7430.584689379999,408,690,,,,,,
301,500.0,208000,7458.31555903,412,690,24700,224755.581953125,-59.52937957763672,0.0002,,
301,500.0,208000,7458.31555903,416,690,,,,,,
306,500.0,212000,7446.95942195,420,690,25200,228543.555703125,5.567299041748047,0.0002,,
306,500.0,212000,7446.95942195,424,690,,,,,,
312,500.0,216000,7461.860951550001,428,691,25700,218660.10978515624,-87.12860260009765,0.0002,,
312,500.0,216000,7461.860951550001,432,691,,,,,,
318,500.0,220000,7458.497980939999,436,690,26200,204973.54578125,-215.7782354736328,0.0002,,
318,500.0,220000,7458.497980939999,440,690,,,,,,
324,500.0,224000,7461.728041559999,444,690,26700,220577.93703125,-232.0172314453125,0.0002,,
324,500.0,224000,7461.728041559999,448,690,,,,,,
329,500.0,228000,7466.3956956,452,691,27200,244494.741796875,-57.2200959777832,0.0002,,
329,500.0,228000,7466.3956956,456,691,,,,,,
335,500.0,232000,7465.64614977,460,691,27700,199479.6354296875,-226.14711578369142,0.0002,,
335,500.0,232000,7465.64614977,464,691,,,,,,
341,500.0,236000,7463.36792839,468,691,28200,211880.210703125,-186.4936001586914,0.0002,,
341,500.0,236000,7463.36792839,472,691,,,,,,
,,240000,,,,28700,179722.97626953124,-213.10907165527342,0.0002,500.0,7436.21991
349,500.0,240000,7471.411272449998,476,685,,,,,,
349,500.0,240000,7471.411272449998,480,685,,,,,,
355,500.0,244000,7474.103076420001,484,686,29200,186831.232421875,-246.97103546142577,0.0002,,
355,500.0,244000,7474.103076420001,488,686,,,,,,
361,500.0,248000,7472.844953729999,492,686,29700,190170.4857421875,-371.3811285400391,0.0002,,
361,500.0,248000,7472.844953729999,496,686,,,,,,
366,500.0,252000,7474.3376453500005,500,686,30200,199723.631328125,-273.370544128418,0.0002,,
366,500.0,252000,7474.3376453500005,504,686,,,,,,
372,500.0,256000,7465.29294392,508,687,30700,219255.57390625,-190.94789276123046,0.0002,,
372,500.0,256000,7465.29294392,512,687,,,,,,
378,500.0,260000,7458.283176519999,516,687,31200,207793.8666015625,-385.307158203125,0.0002,,
378,500.0,260000,7458.283176519999,520,687,,,,,,
384,500.0,264000,7446.402682649999,524,687,31700,192970.1405078125,-324.7630291748047,0.0002,,
384,500.0,264000,7446.402682649999,528,687,,,,,,
390,500.0,268000,7442.663913859999,532,686,32200,186795.242734375,-435.9752374267578,0.0002,,
390,500.0,268000,7442.663913859999,536,686,,,,,,
396,500.0,272000,7437.36532316,540,685,32700,193082.064609375,-338.1742822265625,0.0002,,
396,500.0,272000,7437.36532316,544,685,,,,,,
402,500.0,276000,7422.288404120002,548,685,33200,199828.762578125,-372.38254211425783,0.0002,,
402,500.0,276000,7422.288404120002,552,685,,,,,,
408,500.0,280000,7414.959877019999,556,685,33700,169952.1139453125,-512.7336688232422,0.0002,,
408,500.0,280000,7414.959877019999,560,685,,,,,,
414,500.0,284000,7398.08864288,564,685,34200,190290.35015625,-536.2671221923828,0.0002,,
414,500.0,284000,7398.08864288,568,685,,,,,,
420,500.0,288000,7368.1905479199995,572,685,34700,172170.7918359375,-431.5624432373047,0.0002,,
420,500.0,288000,7368.1905479199995,576,685,,,,,,
425,500.0,292000,7352.95864666,580,686,35200,173360.161640625,-472.45607788085937,0.0002,,
425,500.0,292000,7352.95864666,584,686,,,,,,
431,500.0,296000,7341.31446812,588,686,35700,172353.15548828125,-426.94341064453124,0.0002,,
431,500.0,296000,7341.31446812,592,686,,,,,,
437,500.0,300000,7325.99328119,596,686,36200,183014.42875,-541.3133020019532,0.0002,,
437,500.0,300000,7325.99328119,600,686,,,,,,
442,500.0,304000,7320.096936800001,604,686,36700,103613.37451171875,-612.8707933044434,0.0002,,
442,500.0,304000,7320.096936800001,608,686,,,,,,
448,500.0,308000,7307.179654479999,612,687,37200,68599.3818359375,-698.1186749267578,0.0002,,
448,500.0,308000,7307.179654479999,616,687,,,,,,
453,500.0,312000,7302.088081610002,620,687,37700,38082.59108398438,-844.88251953125,0.0002,,
