time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
1871,2,-14803.078025249999,4000,500.0,4,,,,,,
1871,2,-14803.078025249999,4000,500.0,8,,,,,,
1886,4,-16452.394244000003,8000,500.0,12,,,,,,
1886,4,-16452.394244000003,8000,500.0,16,,,,,,
1509,7,-19024.456764541665,12000,500.0,20,200,36.13189453125,12174.96755859375,0.0003,,
1509,7,-19024.456764541665,12000,500.0,24,,,,,,
1148,13,-12818.220251468749,16000,500.0,28,700,50.08564590454102,2520.60390625,0.0003,,
1148,13,-12818.220251468749,16000,500.0,32,,,,,,
1033,19,-8395.248968875001,20000,500.0,36,1200,47.7730500793457,1282.1064318847657,0.0003,,
1033,19,-8395.248968875001,20000,500.0,40,,,,,,
953,25,-5562.609674562501,24000,500.0,44,1700,36.96858575820923,1003.6186883544922,0.0003,,
953,25,-5562.609674562501,24000,500.0,48,,,,,,
905,30,-3154.3430590714293,28000,500.0,52,2200,14.018395195007324,1012.3366979980469,0.0003,,
905,30,-3154.3430590714293,28000,500.0,56,,,,,,
864,37,-1422.62910534375,32000,500.0,60,2700,-4.42269923210144,1073.1359924316407,0.0003,,
864,37,-1422.62910534375,32000,500.0,64,,,,,,
834,43,-240.56403627777794,36000,500.0,68,3200,-40.21655464172363,1259.9606530761719,0.0003,,
834,43,-240.56403627777794,36000,500.0,72,,,,,,
820,48,616.2918526999998,40000,500.0,76,3700,-70.06586685180665,1405.665302734375,0.0003,,
820,48,616.2918526999998,40000,500.0,80,,,,,,
806,54,1453.0655101136363,44000,500.0,84,4200,-94.89030960083008,1567.6994940185548,0.0003,,
806,54,1453.0655101136363,44000,500.0,88,,,,,,
800,59,2172.5041085729167,48000,500.0,92,4700,-127.77804656982421,1670.2272198486328,0.0003,,
800,59,2172.5041085729167,48000,500.0,96,,,,,,
789,65,3436.3962435500002,52000,500.0,100,5200,-166.65263610839844,1846.5298803710937,0.0003,,
789,65,3436.3962435500002,52000,500.0,104,,,,,,
784,71,5365.08669414,56000,500.0,108,5700,-191.14188171386718,1749.5571661376953,0.0003,,
784,71,5365.08669414,56000,500.0,112,,,,,,
777,77,7497.334449410001,60000,500.0,116,6200,-223.6000762939453,1388.6223449707031,0.0003,,
777,77,7497.334449410001,60000,500.0,120,,,,,,
775,82,8810.035077920002,64000,500.0,124,6700,-242.56345397949218,1727.6845733642579,0.0003,,
775,82,8810.035077920002,64000,500.0,128,,,,,,
768,88,8737.70242845,68000,500.0,132,7200,-268.1410479736328,1526.0527252197267,0.0003,,
768,88,8737.70242845,68000,500.0,136,,,,,,
762,94,8573.27837795,72000,500.0,140,7700,-287.5818347167969,1406.6539404296875,0.0003,,
762,94,8573.27837795,72000,500.0,144,,,,,,
756,100,8300.21171854,76000,500.0,148,8200,-310.0296252441406,1430.1964526367187,0.0003,,
756,100,8300.21171854,76000,500.0,152,,,,,,
,,,80000,,,8700,-340.00786376953124,1314.45671875,0.0003,500.0,6806.863818000001
728,109,7961.671895120001,80000,500.0,156,,,,,,
728,109,7961.671895120001,80000,500.0,160,,,,,,
727,115,7711.004623740001,84000,500.0,164,9200,-365.0452893066406,1384.4832641601563,0.0003,,
727,115,7711.004623740001,84000,500.0,168,,,,,,
724,121,7552.87887566,88000,500.0,172,9700,-381.5191638183594,1396.9026477050782,0.0003,,
724,121,7552.87887566,88000,500.0,176,,,,,,
724,127,7436.82616419,92000,500.0,180,10200,-407.2955310058594,1357.2719418334962,0.0003,,
724,127,7436.82616419,92000,500.0,184,,,,,,
723,132,7241.679354839999,96000,500.0,188,10700,-429.7766748046875,1127.8798126220704,0.0003,,
723,132,7241.679354839999,96000,500.0,192,,,,,,
724,138,7161.722766819999,100000,500.0,196,11200,-451.7894653320312,1157.6717315673827,0.0003,,
724,138,7161.722766819999,100000,500.0,200,,,,,,
720,144,7161.49416852,104000,500.0,204,11700,-473.55122924804687,1382.086876220703,0.0003,,
720,144,7161.49416852,104000,500.0,208,,,,,,
719,150,7179.35631314,108000,500.0,212,12200,-489.1791845703125,1172.354309692383,0.0003,,
719,150,7179.35631314,108000,500.0,216,,,,,,
719,155,7189.72754172,112000,500.0,220,12700,-520.2345471191406,1105.244327392578,0.0003,,
719,155,7189.72754172,112000,500.0,224,,,,,,
719,161,7200.5279850199995,116000,500.0,228,13200,-544.8097241210937,1040.7908010864257,0.0003,,
719,161,7200.5279850199995,116000,500.0,232,,,,,,
719,166,7284.929385569999,120000,500.0,236,13700,-562.3551708984374,1189.064052734375,0.0003,,
719,166,7284.929385569999,120000,500.0,240,,,,,,
719,172,7291.647298089999,124000,500.0,244,14200,-582.749765625,981.6836431884766,0.0003,,
719,172,7291.647298089999,124000,500.0,248,,,,,,
719,177,7320.23303575,128000,500.0,252,14700,-596.3073754882812,1218.3379666137696,0.0003,,
719,177,7320.23303575,128000,500.0,256,,,,,,
719,183,7365.6485008300015,132000,500.0,260,15200,-619.0465063476563,859.5007409667969,0.0003,,
719,183,7365.6485008300015,132000,500.0,264,,,,,,
720,188,7430.3117606999995,136000,500.0,268,15700,-641.1919360351562,941.8831921386719,0.0003,,
720,188,7430.3117606999995,136000,500.0,272,,,,,,
719,194,7476.09426258,140000,500.0,276,16200,-660.930224609375,927.8307012939454,0.0003,,
719,194,7476.09426258,140000,500.0,280,,,,,,
720,199,7500.702393490001,144000,500.0,284,16700,-681.2599853515625,955.5478512573242,0.0003,,
720,199,7500.702393490001,144000,500.0,288,,,,,,
720,205,7527.22531965,148000,500.0,292,17200,-696.8073559570313,767.4933377075196,0.0003,,
720,205,7527.22531965,148000,500.0,296,,,,,,
720,210,7512.289564929999,152000,500.0,300,17700,-720.7782763671875,787.0857424926758,0.0003,,
720,210,7512.289564929999,152000,500.0,304,,,,,,
720,216,7556.676018009999,156000,500.0,308,18200,-742.7469311523438,667.5691534423828,0.0003,,
720,216,7556.676018009999,156000,500.0,312,,,,,,
,,,160000,,,18700,-759.6853198242187,656.5636325073242,0.0003,500.0,8807.1241706
711,224,7637.041638509999,160000,500.0,316,,,,,,
711,224,7637.041638509999,160000,500.0,320,,,,,,
712,230,7833.917455230001,164000,500.0,324,19200,-784.810830078125,961.295018005371,0.0003,,
712,230,7833.917455230001,164000,500.0,328,,,,,,
712,235,8043.142005859999,168000,500.0,332,19700,-798.9047338867188,812.0119306945801,0.0003,,
712,235,8043.142005859999,168000,500.0,336,,,,,,
712,241,8168.5975806900005,172000,500.0,340,20200,-821.97244140625,689.327707977295,0.0003,,
712,241,8168.5975806900005,172000,500.0,344,,,,,,
