time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward
2,4,1836,4000,500.0,-10737.177332625,,,,,,
2,8,1835,4000,500.0,-10737.177332625,,,,,,
4,12,1843,8000,500.0,-10059.0813395,,,,,,
4,16,1843,8000,500.0,-10059.0813395,,,,,,
8,20,1472,12000,500.0,-12865.751240791666,0.0003,200,4552.241640625,23.02344062805176,,
8,24,1472,12000,500.0,-12865.751240791666,,,,,,
14,28,1101,16000,500.0,-7564.302063624999,0.0003,700,733.1018017578125,27.246850891113283,,
14,32,1101,16000,500.0,-7564.302063624999,,,,,,
20,36,998,20000,500.0,-4604.6548800499995,0.0003,1200,532.9871075439453,17.25606590270996,,
20,40,998,20000,500.0,-4604.6548800499995,,,,,,
25,44,934,24000,500.0,-2592.0693604999997,0.0003,1700,643.1058099365234,0.094501953125,,
25,48,934,24000,500.0,-2592.0693604999997,,,,,,
31,52,900,28000,500.0,-1079.4900068214286,0.0003,2200,839.2967175292969,-13.742268047332765,,
31,56,900,28000,500.0,-1079.4900068214286,,,,,,
36,60,873,32000,500.0,19.20050267187503,0.0003,2700,1131.5276708984375,-35.59222095489502,,
36,64,873,32000,500.0,19.20050267187503,,,,,,
42,68,853,36000,500.0,974.4464810416669,0.0003,3200,1349.6735961914062,-52.23184051513672,,
42,72,853,36000,500.0,974.4464810416669,,,,,,
47,76,837,40000,500.0,1940.040945875,0.0003,3700,1476.1021594238282,-78.58837707519531,,
47,80,837,40000,500.0,1940.040945875,,,,,,
53,84,822,44000,500.0,2599.369441875,0.0003,4200,1667.2469573974608,-112.4388330078125,,
53,88,822,44000,500.0,2599.369441875,,,,,,
58,92,815,48000,500.0,3035.2483186354166,0.0003,4700,1616.929482421875,-135.42557830810546,,
58,96,815,48000,500.0,3035.2483186354166,,,,,,
64,100,805,52000,500.0,3975.9308070499997,0.0003,5200,1536.6655450439453,-160.29779479980468,,
64,104,805,52000,500.0,3975.9308070499997,,,,,,
70,108,799,56000,500.0,5757.316526540001,0.0003,5700,1865.2887646484376,-177.1557403564453,,
70,112,799,56000,500.0,5757.316526540001,,,,,,
75,116,790,60000,500.0,7821.67037362,0.0003,6200,1611.5222338867188,-204.6791564941406,,
75,120,790,60000,500.0,7821.67037362,,,,,,
81,124,784,64000,500.0,8801.518158010002,0.0003,6700,1810.7287774658203,-236.00753967285155,,
81,128,784,64000,500.0,8801.518158010002,,,,,,
87,132,774,68000,500.0,8958.850737,0.0003,7200,1687.2492883300781,-253.1941632080078,,
87,136,774,68000,500.0,8958.850737,,,,,,
93,140,770,72000,500.0,9083.320842480001,0.0003,7700,1599.292294921875,-274.31856323242187,,
93,144,770,72000,500.0,9083.320842480001,,,,,,
99,148,764,76000,500.0,9242.752046849999,0.0003,8200,1561.0605017089845,-300.039833984375,,
99,152,764,76000,500.0,9242.752046849999,,,,,,
,,,80000,,,0.0003,8700,1585.1525842285157,-324.06933837890625,500.0,9324.7342498
108,156,734,80000,500.0,9337.223641800001,,,,,,
108,160,734,80000,500.0,9337.223641800001,,,,,,
114,164,733,84000,500.0,9418.591075700002,0.0003,9200,1581.3846813964844,-346.1179357910156,,
114,168,733,84000,500.0,9418.591075700002,,,,,,
120,172,728,88000,500.0,9382.64357454,0.0003,9700,1443.0307781982422,-370.01294677734376,,
120,176,728,88000,500.0,9382.64357454,,,,,,
126,180,727,92000,500.0,9372.60203051,0.0003,10200,1571.874740600586,-388.8643640136719,,
126,184,727,92000,500.0,9372.60203051,,,,,,
132,188,726,96000,500.0,9482.126635229999,0.0003,10700,1627.6744097900391,-415.47731201171877,,
132,192,726,96000,500.0,9482.126635229999,,,,,,
137,196,727,100000,500.0,9588.519949679998,0.0003,11200,1354.2633319091797,-436.4813073730469,,
137,200,727,100000,500.0,9588.519949679998,,,,,,
143,204,726,104000,500.0,9585.87497263,0.0003,11700,1349.5153521728516,-459.4008532714844,,
143,208,726,104000,500.0,9585.87497263,,,,,,
148,212,727,108000,500.0,9514.155465,0.0003,12200,1189.4445336914061,-480.94719482421874,,
148,216,727,108000,500.0,9514.155465,,,,,,
154,220,726,112000,500.0,9390.1024651,0.0003,12700,1153.2821948242188,-504.39826538085936,,
154,224,726,112000,500.0,9390.1024651,,,,,,
159,228,726,116000,500.0,9383.957071209998,0.0003,13200,1408.1807861328125,-521.1519396972657,,
159,232,726,116000,500.0,9383.957071209998,,,,,,
165,236,725,120000,500.0,9347.08370302,0.0003,13700,1200.1900750732423,-539.685478515625,,
165,240,725,120000,500.0,9347.08370302,,,,,,
170,244,726,124000,500.0,9295.79337258,0.0003,14200,1204.8141192626954,-563.0214672851563,,
170,248,726,124000,500.0,9295.79337258,,,,,,
176,252,725,128000,500.0,9205.86914473,0.0003,14700,1107.701806640625,-581.7632080078125,,
176,256,725,128000,500.0,9205.86914473,,,,,,
